carYear,price,hasAccidents,fuelType,mileage
2014,23900,FALSE,2,38061
2013,20775,FALSE,2,38698
2014,19995,FALSE,2,37955
2014,19995,FALSE,2,52816
2013,21994,FALSE,2,34352
2014,19999,FALSE,2,27008
2014,21450,TRUE,2,44339
2014,15972,FALSE,2,81491
2014,12495,FALSE,2,106450
2013,14220,TRUE,2,62501
2013,16649,FALSE,2,71518
2013,17999,FALSE,2,94889
2013,14900,FALSE,2,75017
2013,23990,FALSE,2,42730
2013,14995,FALSE,2,55677
2013,14995,FALSE,2,68540
2014,17590,TRUE,2,88700
2013,14797,FALSE,2,58386
2013,14697,FALSE,2,61469
2013,15997,FALSE,2,75393
2013,16995,FALSE,2,29315
2013,13498,TRUE,2,98718
2014,17738,FALSE,2,50250
2014,15999,FALSE,0,76227
2013,17871,FALSE,2,44178
2013,14899,FALSE,2,45582
2014,16757,FALSE,2,34127
2014,15990,FALSE,2,38589
2013,14490,TRUE,2,53039
2013,16554,FALSE,2,57391
2013,12990,TRUE,2,84517
